waveform,Ti_s,pause_fraction,max_abs_change_PI_1ms_to_0p5ms,max_abs_change_EII_1ms_to_0p5ms,max_rel_change_MP_1ms_to_0p5ms,max_abs_error_PI_1ms_vs_0p125ms,max_abs_error_EII_1ms_vs_0p125ms,max_rel_error_MP_1ms_vs_0p125ms
square,0.6,0.0,0.00011437535125047305,0.0002287507025010571,0.0012292688516547933,0.0002001297539123148,0.0004002595078247684,0.0021498082700670616
square,0.6,0.2,0.00028393626830605645,0.0005678725366122794,0.0016659196976816868,0.0004960566053325566,0.0009921132106650576,0.002913632715864243
square,1.0,0.0,7.718804000161894e-05,0.00015437608000340441,0.000803065940554512,0.00013506555484515959,0.0002701311096903747,0.0014047593311569528
square,1.0,0.2,0.0001522476919084692,0.00030449538381704944,0.0010568116222908419,0.0002661250652150615,0.000532250130430012,0.0018486954038644586
square,1.5,0.0,4.702355291380522e-05,9.404710582781167e-05,0.0005675029228364691,8.228580164115762e-05,0.00016457160328256504,0.0009928240676066267
square,1.5,0.2,8.427098755986462e-05,0.00016854197511995128,0.0007342842972815866,0.0001473669322876736,0.0002947338645753472,0.001284635016041943
decelerating,0.6,0.0,0.0003430168639992903,0.0006860337279985806,0.0021763652438911703,0.0005990694154959231,0.0011981388309919572,0.0038041946695094382
decelerating,0.6,0.2,0.00043878243841191655,0.0008775648768238886,0.002654527107023333,0.0007661335170707773,0.0015322670341415545,0.0046387837777464675
decelerating,1.0,0.0,0.00017669610442688777,0.00035339220885388656,0.0013840005334834209,0.00030882108659938123,0.000617642173198818,0.002420209992353514
decelerating,1.0,0.2,0.00022631120537083826,0.000452622410741621,0.0016865262513525497,0.0003955374322360261,0.0007910748644721632,0.0029487605404176923
decelerating,1.5,0.0,9.83047380490043e-05,0.00019660947609789758,0.0009639706073704036,0.0001718784642371629,0.0003437569284743258,0.0016860774124416347
decelerating,1.5,0.2,0.00012482894015047874,0.0002496578803009575,0.0011769452664676155,0.00021825537174993692,0.0004365107435000404,0.002058357999945806
sinusoidal,0.6,0.0,0.0003062691531940387,0.0006125383063882994,0.0006048888420514307,0.000535522491869389,0.0010710449837388891,0.0010586056090733274
sinusoidal,0.6,0.2,0.00042257172433229906,0.0008451434486645981,0.0007086899977314222,0.0007388137713815468,0.0014776275427631491,0.0012404337276177278
sinusoidal,1.0,0.0,0.00016078218912868314,0.00032156437825731077,0.000418953142725962,0.0002812351670174462,0.000562470334034948,0.0007330967519565165
sinusoidal,1.0,0.2,0.00021266247027318386,0.0004253249405463122,0.0004926039707162734,0.0003719894095657317,0.0007439788191315189,0.0008620101649036155
sinusoidal,1.5,0.0,8.825596404649083e-05,0.00017651192809303717,0.0003089155181218589,0.0001544032631314307,0.0003088065262628614,0.0005405335830431211
sinusoidal,1.5,0.2,0.00010905280356521274,0.00021810560713036997,0.0003660138867964996,0.0001907993887295123,0.0003815987774589136,0.0006404490941555037
