case,C2_over_C1,R2_over_R1,dt_s,PI,EII,MPtotal_Jmin
compliance-dominant_high-C2,4.0,1.0,0.004,0.6851820879083557,0.3703641758167113,3.5652685056022144
compliance-dominant_high-C2,4.0,1.0,0.002,0.6853040734836503,0.3706081469673006,3.572915172829193
compliance-dominant_high-C2,4.0,1.0,0.001,0.6853649975696421,0.37072999513928423,3.5767420854939846
compliance-dominant_high-C2,4.0,1.0,0.0005,0.6853954424410792,0.3707908848821583,3.5786564366732785
compliance-dominant_high-C2,4.0,1.0,0.00025,0.6854106605843974,0.3708213211687948,3.5796138359851093
compliance-dominant_high-C2,4.0,1.0,0.000125,0.6854182685830185,0.3708365371660369,3.5800925915728747
compliance-dominant_low-C2,0.25,1.0,0.004,0.21817685903958442,0.5636462819208312,7.4308631828178235
compliance-dominant_low-C2,0.25,1.0,0.002,0.2182367190590017,0.5635265618819967,7.453071832947328
compliance-dominant_low-C2,0.25,1.0,0.001,0.2182663733663996,0.5634672532672007,7.464190881668859
compliance-dominant_low-C2,0.25,1.0,0.0005,0.2182811321549024,0.5634377356901952,7.469754086975165
compliance-dominant_low-C2,0.25,1.0,0.00025,0.21828849452710997,0.5634230109457802,7.472536609868524
compliance-dominant_low-C2,0.25,1.0,0.000125,0.2182921714663131,0.5634156570673738,7.473928101375744
homogeneous,1.0,1.0,0.004,0.5,0.0,4.994129
homogeneous,1.0,1.0,0.002,0.5,0.0,5.008302249999998
homogeneous,1.0,1.0,0.001,0.5,0.0,5.015398062499999
homogeneous,1.0,1.0,0.0005,0.5,0.0,5.018948265624915
homogeneous,1.0,1.0,0.00025,0.5,0.0,5.020723941406059
homogeneous,1.0,1.0,0.000125,0.5,0.0,5.021611922851642
mixed_high-C2-high-R2,4.0,4.0,0.004,0.40882708450529787,0.18234583098940416,6.491578230753712
mixed_high-C2-high-R2,4.0,4.0,0.002,0.4091362071703977,0.18172758565920466,6.505945201491348
mixed_high-C2-high-R2,4.0,4.0,0.001,0.40929064501951157,0.1814187099609769,6.513133279239829
mixed_high-C2-high-R2,4.0,4.0,0.0005,0.40936783305951324,0.18126433388097346,6.516728465641366
mixed_high-C2-high-R2,4.0,4.0,0.00025,0.4094064193566861,0.18118716128662785,6.5185263456531795
mixed_high-C2-high-R2,4.0,4.0,0.000125,0.40942571057435617,0.18114857885128763,6.519425357353014
mixed_low-C2-low-R2,0.25,0.25,0.004,0.21578362205261153,0.568432755894777,7.262662790634771
mixed_low-C2-low-R2,0.25,0.25,0.002,0.21594031963655325,0.5681193607268935,7.284752054390143
mixed_low-C2-low-R2,0.25,0.25,0.001,0.2160175677855928,0.5679648644288143,7.295811389139684
mixed_low-C2-low-R2,0.25,0.25,0.0005,0.21605592189502318,0.5678881562099536,7.301344732265655
mixed_low-C2-low-R2,0.25,0.25,0.00025,0.21607503209305545,0.5678499358138891,7.3041123227706475
mixed_low-C2-low-R2,0.25,0.25,0.000125,0.2160845705563164,0.5678308588873671,7.305496347759197
resistance-dominant_high-R2,1.0,4.0,0.004,0.3469178589757406,0.30616428204851875,6.921111529094803
resistance-dominant_high-R2,1.0,4.0,0.002,0.34706937311373054,0.3058612537725388,6.938351385064174
resistance-dominant_high-R2,1.0,4.0,0.001,0.3471450415494307,0.3057099169011385,6.946980436121642
resistance-dominant_high-R2,1.0,4.0,0.0005,0.3471828536272988,0.30563429274540244,6.951297242451878
resistance-dominant_high-R2,1.0,4.0,0.00025,0.3472017541335309,0.30559649173293835,6.953456215821518
resistance-dominant_high-R2,1.0,4.0,0.000125,0.34721120300375885,0.30557759399248224,6.954535845058004
resistance-dominant_low-R2,1.0,0.25,0.004,0.5308778282430117,0.06175565648602332,4.172969685222791
resistance-dominant_low-R2,1.0,0.25,0.002,0.5309521770013186,0.06190435400263708,4.186419693455877
resistance-dominant_low-R2,1.0,0.25,0.001,0.530988975516235,0.06197795103246998,4.1931539171015855
resistance-dominant_low-R2,1.0,0.25,0.0005,0.5310072814490377,0.06201456289807533,4.1965233337493535
resistance-dominant_low-R2,1.0,0.25,0.00025,0.531016411163922,0.06203282232784389,4.198208618272333
resistance-dominant_low-R2,1.0,0.25,0.000125,0.5310209702184088,0.06204194043681762,4.199051404582689
