case,C2_over_C1,R2_over_R1,waveform,Ti_s,pause_fraction,dt_s,PI,EII,MPtotal_Jmin,flow_residual_max_Ls,paw_consistency_max_cmH2O
compliance-dominant_high-C2,4.0,1.0,decelerating,0.6,0.0,0.004,0.6359981493893806,0.2719962987787612,6.018316120698703,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,decelerating,0.6,0.0,0.002,0.6362632310975012,0.2725264621950024,6.0580179640146925,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,decelerating,0.6,0.0,0.001,0.6363951004224525,0.272790200844905,6.077922968007623,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,decelerating,0.6,0.0,0.0005,0.6364608683155345,0.2729217366310689,6.087889000633735,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,decelerating,0.6,0.0,0.00025,0.6364937107078537,0.2729874214157073,6.092875400860072,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,decelerating,0.6,0.0,0.000125,0.6365101215326625,0.2730202430653249,6.095369447108552,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,decelerating,0.6,0.2,0.004,0.6267464066010688,0.2534928132021377,7.101097847768986,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,decelerating,0.6,0.2,0.002,0.6270451590310332,0.2540903180620664,7.157993952166657,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,decelerating,0.6,0.2,0.001,0.6271937056126078,0.25438741122521563,7.186535472241509,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,decelerating,0.6,0.2,0.0005,0.6272677729790499,0.25453554595809985,7.200829618571651,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,decelerating,0.6,0.2,0.00025,0.6273047553652981,0.25460951073059607,7.207982540726045,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,decelerating,0.6,0.2,0.000125,0.6273232337571075,0.2546464675142151,7.211560464352633,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,decelerating,1.0,0.0,0.004,0.6998305224169734,0.3996610448339468,4.240739300872612,4.440892098500626e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,decelerating,1.0,0.0,0.002,0.6998807542909878,0.3997615085819756,4.258723681062177,4.440892098500626e-16,1.7763568394002505e-15
